Time [s],Channel 0
12.480250300,0
12.480258600,1
12.480267300,0
12.480275200,1
12.480295200,0
12.480312700,1
12.480321400,0
12.480329700,1
12.480338400,0
12.480346700,1
12.480364000,0
12.480371900,1
12.480391900,0
12.480401000,1
12.480418300,0
12.480426600,1
12.480435300,0
12.480460400,1
12.480488700,0
12.480497700,1
12.480506500,0
12.480523200,1
12.480540500,0
12.480548700,1
12.480585700,0
12.480603100,1
12.480620300,0
12.480637100,1
12.480645700,0
12.480654100,1
12.480682300,0
12.480691400,1
12.480717200,0
12.480725600,1
12.480734200,0
12.480742600,1
12.480751200,0
12.480759100,1
12.480779200,0
12.480796700,1
12.480814100,0
12.480855600,1
12.480875600,0
12.480884700,1
12.480910600,0
12.480918900,1
12.480927600,0
12.480952300,1
12.481352700,0
12.481369800,1
12.481378500,0
12.481395600,1
12.481404300,0
12.481430000,1
12.510845300,0
12.510854300,1
12.510863000,0
12.510871300,1
12.510888600,0
12.510905300,1
12.510914000,0
12.510921900,1
12.510942000,0
12.510959500,1
12.510968100,0
12.511001700,1
12.511010400,0
12.511018300,1
12.511038400,0
12.511047500,1
12.511073300,0
12.511114900,1
12.511135000,0
12.511194500,1
12.511231400,0
12.511282500,1
12.511291200,0
12.511307500,1
12.511327700,0
12.511345100,1
12.511353700,0
12.511370500,1
12.511424400,0
12.511450400,1
12.511459000,0
12.511467400,1
12.511521400,0
12.511538800,1
12.511547600,0
12.511597500,1
12.511617600,0
12.511643500,1
12.511669300,0
12.511677700,1
12.511686300,0
12.511694300,1
12.511714300,0
12.511731800,1
12.511766300,0
12.511791000,1
12.511811100,0
12.511820200,1
12.511846000,0
12.511854300,1
12.511863000,0
12.511887700,1
12.511907800,0
12.511916900,1
12.511942700,0
12.511967900,1
12.511976600,0
12.511984500,1
12.512004600,0
12.512013700,1
12.512048100,0
12.512073200,1
12.512101600,0
