Time [s],Channel 0,Channel 1
103.255201200,0,0
103.255930900,1,0
103.256137500,0,0
103.256348600,1,0
103.256554300,0,0
103.257076100,1,0
103.257282800,0,0
103.258220900,1,0
103.258428200,0,0
103.258534900,1,0
103.258740900,0,0
103.259366600,1,0
103.259573700,0,0
103.259680100,1,0
103.259782200,0,0
103.260200100,1,0
103.260301900,0,0
103.260511800,1,0
103.260719000,0,0
103.260825300,1,0
103.260927600,0,0
103.261657300,1,0
103.261864200,0,0
103.262282900,1,0
103.262384700,0,0
103.262802500,1,0
103.263009200,0,0
103.263115600,1,0
103.263321600,0,0
103.263427700,1,0
103.263529500,0,0
103.263739600,1,0
103.269029300,0,0
103.557304200,1,0
103.562306200,0,0
103.562411000,1,0
103.563461900,0,0
103.563565600,1,0
103.564618000,0,0
103.564722300,1,0
103.564827100,0,0
103.565561300,1,0
103.565774100,0,0
103.566088500,1,0
103.566193800,0,0
103.566717900,1,0
103.566930700,0,0
103.567140000,1,0
103.567245200,0,0
103.567349600,1,0
103.567454900,0,0
103.567769200,1,0
103.568086400,0,0
103.569029700,1,0
103.569244400,0,0
103.569558900,1,0
103.569664100,0,0
103.570188200,1,0
103.570403200,0,0
103.570717600,1,0
103.570927600,0,0
103.571032500,1,0
103.571242400,0,0
103.571346800,1,0
103.571699400,0,0
103.571807200,1,0
103.572845800,0,0
103.572952000,1,0
103.573990600,0,0
103.574097000,1,0
103.574199100,0,0
103.574928800,1,0
103.575135600,0,0
103.575346100,1,0
103.575551800,0,0
103.576073600,1,0
103.576280400,0,0
103.577218600,1,0
103.577426000,0,0
103.577532000,1,0
103.577738100,0,0
103.578363900,1,0
103.578571000,0,0
103.578677400,1,0
103.578779600,0,0
103.579197600,1,0
103.579299400,0,0
103.579509400,1,0
103.579716300,0,0
103.579822900,1,0
103.579925000,0,0
103.580654700,1,0
103.580861800,0,0
103.581280400,1,0
103.581382200,0,0
103.581800100,1,0
103.582006800,0,0
103.582113200,1,0
103.582319200,0,0
103.582425400,1,0
103.582527200,0,0
103.582737200,1,0
103.588025500,0,0
103.868305100,1,0
103.873307300,0,0
103.873411700,1,0
103.874462700,0,0
103.874567000,1,0
103.875617800,0,0
103.875721600,1,0
103.875826900,0,0
103.876561100,1,0
103.876773800,0,0
103.877088300,1,0
103.877193100,0,0
103.877717700,1,0
103.877931100,0,0
103.878140500,1,0
103.878245800,0,0
103.878350700,1,0
103.878455500,0,0
103.878770600,1,0
103.879087500,0,0
103.880031700,1,0
103.880246900,0,0
103.880561800,1,0
103.880666600,0,0
103.881191100,1,0
103.881406400,0,0
103.881720700,1,0
103.881930600,0,0
103.882035500,1,0
103.882245400,0,0
103.882349800,1,0
103.882698900,0,0
103.882806700,1,0
103.883845300,0,0
103.883951600,1,0
103.884990200,0,0
103.885097100,1,0
103.885199200,0,0
103.885928900,1,0
103.886135700,0,0
103.886346400,1,0
103.886552100,0,0
103.887073900,1,0
103.887280600,0,0
103.888219300,1,0
103.888426700,0,0
103.888532800,1,0
103.888739000,0,0
103.889364800,1,0
103.889571800,0,0
103.889678300,1,0
103.889780500,0,0
103.890198400,1,0
103.890300200,0,0
103.890510200,1,0
103.890717300,0,0
103.890823700,1,0
103.890925800,0,0
103.891655600,1,0
103.891862700,0,0
103.892281300,1,0
103.892383000,0,0
103.892800900,1,0
103.893007600,0,0
103.893114000,1,0
103.893320000,0,0
103.893426200,1,0
103.893527900,0,0
